index_id,date_anio,date,day_week,close,open,high,low,adj_close,volume
00001,1988,1988-12-15,3,3.8172,3.8441,3.8576,3.8172,0.8045,1782791
00002,1988,1988-12-16,4,3.8038,3.8172,3.8172,3.8038,0.8017,777471
00003,1988,1988-12-19,0,3.7904,3.8038,3.8038,3.7904,0.7988,411056
00004,1988,1988-12-20,1,3.7904,3.7904,3.8038,3.7904,0.7988,134849
00005,1988,1988-12-21,2,3.8038,3.7904,3.8038,3.7904,0.8017,242727
00006,1988,1988-12-22,3,3.7904,3.8038,3.8172,3.7904,0.7988,97649
00007,1988,1988-12-23,4,3.7769,3.7904,3.7904,3.7769,0.796,20460
00008,1988,1988-12-27,1,3.7769,3.7769,3.7769,3.7769,0.796,0
00009,1988,1988-12-28,2,3.7635,3.7635,3.7635,3.7635,0.7932,167398
00010,1988,1988-12-29,3,3.7635,3.7635,3.7769,3.7635,0.7932,26970
00011,1988,1988-12-30,4,3.7635,3.7635,3.7635,3.7635,0.7932,130199
00012,1989,1989-01-03,1,3.8172,3.7769,3.8172,3.7769,0.8045,130199
00013,1989,1989-01-04,2,3.8038,3.8038,3.8038,3.8038,0.8017,10230
00014,1989,1989-01-05,3,3.7904,3.8038,3.8038,3.7904,0.7988,12090
00015,1989,1989-01-06,4,3.7904,3.7904,3.7904,3.7904,0.7988,9300
00016,1989,1989-01-09,0,3.7904,3.7904,3.8038,3.7904,0.7988,10230
00017,1989,1989-01-10,1,3.7904,3.7904,3.7904,3.7904,0.7988,9300
00018,1989,1989-01-11,2,3.8038,3.7904,3.8038,3.7904,0.8017,1252696
00019,1989,1989-01-12,3,3.8038,3.8038,3.8038,3.8038,0.8017,9300
00020,1989,1989-01-13,4,3.7904,3.8038,3.8038,3.7904,0.7988,6510
00021,1989,1989-01-16,0,3.8038,3.7904,3.8038,3.7904,0.8017,132989
00022,1989,1989-01-17,1,3.8038,3.8038,3.8038,3.7904,0.8017,14880
00023,1989,1989-01-18,2,3.8038,3.8038,3.8038,3.7904,0.8017,10230
00024,1989,1989-01-19,3,3.8038,3.8038,3.8038,3.7904,0.8017,106949
00025,1989,1989-01-20,4,3.8038,3.8038,3.8038,3.7904,0.8017,10230
00026,1989,1989-01-23,0,3.7904,3.7904,3.7904,3.7904,0.7988,102299
00027,1989,1989-01-24,1,3.7904,3.7904,3.7904,3.7769,0.7988,52079
00028,1989,1989-01-25,2,3.7769,3.7904,3.7904,3.7769,0.796,33480
00029,1989,1989-01-26,3,3.7769,3.7769,3.8038,3.7769,0.796,331076
00030,1989,1989-01-27,4,3.8038,3.8038,3.8038,3.8038,0.8017,32550
00031,1989,1989-01-30,0,3.8038,3.8038,3.8038,3.8038,0.8017,12090
00032,1989,1989-01-31,1,3.7366,3.8038,3.8038,3.7366,0.7875,607283
00033,1989,1989-02-01,2,3.6694,3.7097,3.7097,3.6694,0.7734,208318
00034,1989,1989-02-02,3,3.5753,3.6291,3.6291,3.5753,0.7535,592404
00035,1989,1989-02-03,4,3.6156,3.5887,3.6291,3.5887,0.762,2167806
00036,1989,1989-02-06,0,3.6156,3.6156,3.6156,3.6156,0.762,13950
00037,1989,1989-02-07,1,3.7366,3.656,3.7366,3.656,0.7875,50219
00038,1989,1989-02-08,2,3.7366,3.7366,3.7366,3.7097,0.7875,1025779
00039,1989,1989-02-09,3,3.7366,3.7366,3.7635,3.7366,0.7875,297597
00040,1989,1989-02-10,4,3.7635,3.7366,3.7635,3.7232,0.7932,265047
00041,1989,1989-02-13,0,3.7635,3.7635,3.7635,3.7635,0.7932,0
00042,1989,1989-02-14,1,3.7635,3.7635,3.7904,3.7635,0.7932,41850
00043,1989,1989-02-15,2,3.7635,3.7635,3.7635,3.7635,0.7932,930
00044,1989,1989-02-16,3,3.7635,3.7635,3.7635,3.7635,0.7932,0
00045,1989,1989-02-17,4,3.7635,3.7635,3.7635,3.7635,0.7932,0
00046,1989,1989-02-21,1,3.7769,3.7635,3.7904,3.7635,0.796,69749
00047,1989,1989-02-22,2,3.7366,3.7635,3.7635,3.7366,0.7875,213898
00048,1989,1989-02-23,3,3.7635,3.7635,3.7635,3.7635,0.7932,18600
00049,1989,1989-02-24,4,3.7635,3.7635,3.7904,3.7635,0.7932,251097
00050,1989,1989-02-27,0,3.7635,3.7635,3.7635,3.7635,0.7932,2790
00051,1989,1989-02-28,1,3.7635,3.7635,3.7635,3.7635,0.7932,0
00052,1989,1989-03-01,2,3.7097,3.7097,3.7097,3.7097,0.7819,18600
00053,1989,1989-03-02,3,3.7366,3.7366,3.7366,3.7366,0.7875,4650
00054,1989,1989-03-03,4,3.7366,3.7366,3.7366,3.7366,0.7875,0
00055,1989,1989-03-06,0,3.7635,3.7366,3.7635,3.7366,0.7932,94859
00056,1989,1989-03-07,1,3.7635,3.7635,3.7635,3.7366,0.7932,312477
00057,1989,1989-03-08,2,3.7097,3.7366,3.7366,3.6828,0.7819,74399
00058,1989,1989-03-09,3,3.7232,3.7232,3.7232,3.7232,0.7847,930
