index_id,date_anio,date,day_week,close,open,high,low,adj_close,volume
00001,2000,2000-01-03,0,0.9753,0.9844,0.9922,0.9193,0.8946,30091200
00002,2000,2000-01-04,1,0.9492,0.9583,0.9609,0.901,0.8707,30048000
00003,2000,2000-01-05,2,0.918,0.9219,0.9375,0.9049,0.8421,18835200
00004,2000,2000-01-06,3,0.8581,0.918,0.918,0.8229,0.7871,12048000
00005,2000,2000-01-07,4,0.8724,0.8542,0.8815,0.8411,0.8003,7118400
00006,2000,2000-01-10,0,0.901,0.875,0.9375,0.8594,0.8265,23985600
00007,2000,2000-01-11,1,0.8646,0.8958,0.9062,0.8646,0.7931,14812800
00008,2000,2000-01-12,2,0.8424,0.8646,0.8659,0.8307,0.7728,12355200
00009,2000,2000-01-13,3,0.8776,0.8411,0.8854,0.8307,0.805,13219200
00010,2000,2000-01-14,4,0.9154,0.8906,0.9518,0.888,0.8397,60456000
00011,2000,2000-01-18,1,0.9544,0.9271,0.9583,0.8854,0.8755,26164800
00012,2000,2000-01-19,2,0.9453,0.9583,0.9583,0.9375,0.8671,16468800
00013,2000,2000-01-20,3,0.9427,0.9531,1.0052,0.9349,0.8647,17956800
00014,2000,2000-01-21,4,0.9323,0.9401,0.944,0.9089,0.8552,54427200
00015,2000,2000-01-24,0,0.8906,0.9622,0.9622,0.8854,0.817,25694400
00016,2000,2000-01-25,1,0.8828,0.8945,0.9036,0.8542,0.8098,23712000
00017,2000,2000-01-26,2,0.8464,0.8828,0.9062,0.8307,0.7764,23246400
00018,2000,2000-01-27,3,0.8021,0.8529,0.8529,0.7708,0.7358,45820800
00019,2000,2000-01-28,4,0.7786,0.7917,0.7969,0.7474,0.7143,19444800
00020,2000,2000-01-31,0,0.7721,0.7826,0.7995,0.7292,0.7083,18240000
00021,2000,2000-02-01,1,0.7904,0.7734,0.7969,0.7448,0.725,9297600
00022,2000,2000-02-02,2,0.8125,0.7943,0.8281,0.7904,0.7453,14904000
00023,2000,2000-02-03,3,0.8255,0.8385,0.8555,0.8203,0.7573,10824000
00024,2000,2000-02-04,4,0.8451,0.8516,0.8516,0.8281,0.7752,12369600
00025,2000,2000-02-07,0,0.793,0.849,0.849,0.7917,0.7274,21748800
00026,2000,2000-02-08,1,0.8307,0.8125,0.8594,0.7917,0.762,46881600
00027,2000,2000-02-09,2,0.8516,0.862,0.8763,0.8503,0.7811,58905600
00028,2000,2000-02-10,3,1.026,0.9036,1.0417,0.9036,0.9412,97008000
00029,2000,2000-02-11,4,1.0417,1.0768,1.0781,0.9661,0.9555,42379200
00030,2000,2000-02-14,0,1.2083,1.0443,1.2083,1.0339,1.1084,65011200
00031,2000,2000-02-15,1,1.1615,1.2109,1.2122,1.112,1.0654,45048000
00032,2000,2000-02-16,2,1.2148,1.1745,1.2552,1.1615,1.1144,101956800
00033,2000,2000-02-17,3,1.2578,1.2135,1.2656,1.1953,1.1538,53577600
00034,2000,2000-02-18,4,1.4036,1.2396,1.4219,1.2305,1.2876,96086400
