index_id,date_anio,date,day_week,close,open,high,low,adj_close,volume
00001,2000,2000-01-03,0,24.7168,25.5572,25.8934,24.5191,7.7765,13579848
00002,2000,2000-01-04,1,23.6985,24.4697,24.7861,23.2833,7.4561,15091975
00003,2000,2000-01-05,2,22.5912,22.7494,23.2141,22.433,7.1077,16630986
00004,2000,2000-01-06,3,22.5912,22.5912,22.5912,22.5912,7.1077,0
00005,2000,2000-01-07,4,22.6307,22.6406,22.6802,22.2649,7.1202,17595592
00006,2000,2000-01-10,0,23.3129,23.6985,23.6985,23.046,7.3348,11308250
00007,2000,2000-01-11,1,23.3327,23.6787,23.6787,22.9867,7.341,12123958
00008,2000,2000-01-12,2,22.7889,23.0559,23.6194,22.779,7.17,18074556
00009,2000,2000-01-13,3,24.1731,23.7282,26.1999,23.5799,7.6054,39018978
00010,2000,2000-01-14,4,24.9146,24.2225,25.1123,23.9259,7.8387,37773067
00011,2000,2000-01-17,0,26.3482,25.6066,26.9018,25.4089,8.2898,28658816
00012,2000,2000-01-18,1,26.1999,26.8425,27.4654,26.1504,8.2431,27540490
00013,2000,2000-01-19,2,26.0021,26.0021,26.6151,25.834,8.1809,17701875
00014,2000,2000-01-20,3,25.3496,25.9033,26.1702,25.2705,7.9756,18233527
00015,2000,2000-01-21,4,24.9541,24.9047,25.3397,24.618,7.8512,18082962
00016,2000,2000-01-24,0,24.8157,24.9146,25.4386,24.5685,7.8076,15023064
00017,2000,2000-01-25,1,24.1138,24.4104,24.6081,23.9753,7.5868,15968604
00018,2000,2000-01-26,2,24.9047,24.3708,24.9047,24.2027,7.8356,20536096
00019,2000,2000-01-27,3,26.19,25.3595,26.7337,25.1321,8.24,25442002
00020,2000,2000-01-28,4,26.0516,26.4965,26.6942,25.6561,8.1965,18460639
00021,2000,2000-01-31,0,25.6066,25.6066,26.0911,25.2112,8.0565,17079021
00022,2000,2000-02-01,1,26.5657,25.7154,26.7436,25.6165,8.3582,19993693
00023,2000,2000-02-02,2,27.4555,26.5953,27.8213,26.3778,8.6382,21607501
00024,2000,2000-02-03,3,28.5232,27.673,28.6221,27.495,8.9741,20348158
00025,2000,2000-02-04,4,28.8693,28.6715,29.6108,28.6617,9.083,17649745
00026,2000,2000-02-07,0,28.286,28.9088,29.4625,28.286,8.8995,16309090
00027,2000,2000-02-08,1,29.0176,28.6221,29.502,28.4738,9.1296,13979970
00028,2000,2000-02-09,2,30.3523,29.2153,31.3311,29.1856,9.5496,22322055
00029,2000,2000-02-10,3,30.3127,29.8579,31.1234,29.8085,9.5371,22227939
