index_id,date_anio,date,day_week,close,open,high,low,adj_close,volume
00001,2023,2023-01-02,0,5.782,5.691,5.786,5.669,5.2032,7785857
00002,2023,2023-01-03,1,5.869,5.763,5.899,5.74,5.2815,13860514
00003,2023,2023-01-04,2,6.1,5.9,6.1,5.899,5.4894,24333498
00004,2023,2023-01-05,3,6.154,6.07,6.168,6.04,5.538,15587600
00005,2023,2023-01-06,4,6.21,6.17,6.228,6.155,5.5884,12498717
00006,2023,2023-01-09,0,6.277,6.21,6.286,6.201,5.6487,19838535
00007,2023,2023-01-10,1,6.31,6.25,6.329,6.237,5.6784,12857059
00008,2023,2023-01-11,2,6.273,6.33,6.333,6.251,5.6451,12180488
00009,2023,2023-01-12,3,6.321,6.295,6.357,6.252,5.6883,13218877
00010,2023,2023-01-13,4,6.362,6.337,6.412,6.287,5.7252,12723765
00011,2023,2023-01-16,0,6.398,6.37,6.414,6.34,5.7576,7109384
00012,2023,2023-01-17,1,6.415,6.398,6.449,6.388,5.7729,11518010
00013,2023,2023-01-18,2,6.443,6.404,6.486,6.404,5.7981,15186643
00014,2023,2023-01-19,3,6.31,6.39,6.413,6.191,5.6784,19966032
00015,2023,2023-01-20,4,6.367,6.369,6.402,6.315,5.7297,17583942
00016,2023,2023-01-23,0,6.45,6.387,6.508,6.34,5.8044,11258761
00017,2023,2023-01-24,1,6.431,6.461,6.507,6.35,5.7873,9183071
00018,2023,2023-01-25,2,6.292,6.356,6.381,6.264,5.6622,17317160
00019,2023,2023-01-26,3,6.417,6.332,6.447,6.329,5.7747,19022920
00020,2023,2023-01-27,4,6.434,6.45,6.507,6.404,5.79,18637346
00021,2023,2023-01-30,0,6.439,6.41,6.466,6.372,5.7945,6883831
00022,2023,2023-01-31,1,6.463,6.46,6.482,6.375,5.8161,13753129
00023,2023,2023-02-01,2,6.767,6.5,6.79,6.482,6.0896,32228125
00024,2023,2023-02-02,3,6.798,6.723,6.96,6.7,6.1175,21938757
00025,2023,2023-02-03,4,6.907,6.784,6.928,6.765,6.2156,16188638
00026,2023,2023-02-06,0,6.79,6.844,6.848,6.772,6.1103,10804666
00027,2023,2023-02-07,1,6.777,6.812,6.849,6.735,6.0986,11214770
00028,2023,2023-02-08,2,6.753,6.82,6.82,6.721,6.077,14731657
