index_id,date_anio,date,day_week,close,open,high,low,adj_close,volume
00001,1980,1980-01-02,2,148.17,148.17,148.17,148.17,148.17,0
00002,1980,1980-01-03,3,145.97,145.97,145.97,145.97,145.97,0
00003,1980,1980-01-04,4,148.02,148.02,148.02,148.02,148.02,0
00004,1980,1980-01-07,0,148.62,148.62,148.62,148.62,148.62,0
00005,1980,1980-01-08,1,150.68,150.68,150.68,150.68,150.68,0
00006,1980,1980-01-09,2,151.6,151.6,151.6,151.6,151.6,0
00007,1980,1980-01-10,3,153.12,153.12,153.12,153.12,153.12,0
00008,1980,1980-01-11,4,153.87,153.87,153.87,153.87,153.87,0
00009,1980,1980-01-14,0,154.4,154.4,154.4,154.4,154.4,0
00010,1980,1980-01-15,1,154.96,154.96,154.96,154.96,154.96,0
00011,1980,1980-01-16,2,155.99,155.99,155.99,155.99,155.99,0
00012,1980,1980-01-17,3,155.81,155.81,155.81,155.81,155.81,0
00013,1980,1980-01-18,4,156.14,156.14,156.14,156.14,156.14,0
00014,1980,1980-01-21,0,157.35,157.35,157.35,157.35,157.35,0
00015,1980,1980-01-22,1,156.92,156.92,156.92,156.92,156.92,0
00016,1980,1980-01-23,2,158.5,158.5,158.5,158.5,158.5,0
00017,1980,1980-01-24,3,159.24,159.24,159.24,159.24,159.24,0
00018,1980,1980-01-25,4,159.7,159.7,159.7,159.7,159.7,0
00019,1980,1980-01-28,0,160.7,160.7,160.7,160.7,160.7,0
00020,1980,1980-01-29,1,160.29,160.29,160.29,160.29,160.29,0
00021,1980,1980-01-30,2,161.3,161.3,161.3,161.3,161.3,0
00022,1980,1980-01-31,3,161.75,161.75,161.75,161.75,161.75,0
00023,1980,1980-02-01,4,162.3,162.3,162.3,162.3,162.3,0
00024,1980,1980-02-04,0,162.02,162.02,162.02,162.02,162.02,0
00025,1980,1980-02-05,1,162.2,162.2,162.2,162.2,162.2,0
00026,1980,1980-02-06,2,162.99,162.99,162.99,162.99,162.99,0
00027,1980,1980-02-07,3,163.77,163.77,163.77,163.77,163.77,0
00028,1980,1980-02-08,4,165.25,165.25,165.25,165.25,165.25,0
00029,1980,1980-02-11,0,164.46,164.46,164.46,164.46,164.46,0
00030,1980,1980-02-12,1,164.57,164.57,164.57,164.57,164.57,0
00031,1980,1980-02-13,2,164.98,164.98,164.98,164.98,164.98,0
00032,1980,1980-02-14,3,163.54,163.54,163.54,163.54,163.54,0
00033,1980,1980-02-15,4,162.56,162.56,162.56,162.56,162.56,0
00034,1980,1980-02-19,1,161.06,161.06,161.06,161.06,161.06,0
00035,1980,1980-02-20,2,162.1,162.1,162.1,162.1,162.1,0
00036,1980,1980-02-21,3,161.31,161.31,161.31,161.31,161.31,0
00037,1980,1980-02-22,4,160.08,160.08,160.08,160.08,160.08,0
00038,1980,1980-02-25,0,157.97,157.97,157.97,157.97,157.97,0
00039,1980,1980-02-26,1,158.5,158.5,158.5,158.5,158.5,0
00040,1980,1980-02-27,2,157.73,157.73,157.73,157.73,157.73,0
00041,1980,1980-02-28,3,157.46,157.46,157.46,157.46,157.46,0
00042,1980,1980-02-29,4,158.03,158.03,158.03,158.03,158.03,0
00043,1980,1980-03-03,0,156.87,156.87,156.87,156.87,156.87,0
00044,1980,1980-03-04,1,155.39,155.39,155.39,155.39,155.39,0
00045,1980,1980-03-05,2,152.94,152.94,152.94,152.94,152.94,0
00046,1980,1980-03-06,3,148.64,148.64,148.64,148.64,148.64,0
00047,1980,1980-03-07,4,146.19,146.19,146.19,146.19,146.19,0
00048,1980,1980-03-10,0,143.75,143.75,143.75,143.75,143.75,0
00049,1980,1980-03-11,1,144.56,144.56,144.56,144.56,144.56,0
00050,1980,1980-03-12,2,144.63,144.63,144.63,144.63,144.63,0
00051,1980,1980-03-13,3,144.98,144.98,144.98,144.98,144.98,0
00052,1980,1980-03-14,4,144.44,144.44,144.44,144.44,144.44,0
00053,1980,1980-03-17,0,139.7,139.7,139.7,139.7,139.7,0
00054,1980,1980-03-18,1,138.92,138.92,138.92,138.92,138.92,0
00055,1980,1980-03-19,2,139.97,139.97,139.97,139.97,139.97,0
00056,1980,1980-03-20,3,139.64,139.64,139.64,139.64,139.64,0
00057,1980,1980-03-21,4,138.8,138.8,138.8,138.8,138.8,0
00058,1980,1980-03-24,0,134.61,134.61,134.61,134.61,134.61,0
00059,1980,1980-03-25,1,132.52,132.52,132.52,132.52,132.52,0
00060,1980,1980-03-26,2,132.22,132.22,132.22,132.22,132.22,0
00061,1980,1980-03-27,3,124.09,124.09,124.09,124.09,124.09,0
